comment_id,similerity_content,similerity_commemt,wordCount,wordRedundantRatio,noOfSentences,lengthOfComment,numberOfPunctuations,stopWordRatio,post_coment_gap,is_black_word,linkMailLinkAvailable,comment_duplication
UgzXDAmdzOEllqdIx2d4AaABAg,0.5063321283068871,0.49138126050718306,412,0.279126213592233,26,2680,28,0.007281553398058253,82.03333333333333,1,0,0.10008345870929891
Ugya4xr6gSF4SF1bdPl4AaABAg,0.2534694656328022,0.30103817382280806,13,0.0,1,79,0,0.0,58.483333333333334,0,0,0
UgzzwkZe6WNYG8xUZRF4AaABAg,0.07498592645869212,0.19688579689239177,2,0.0,1,11,0,0.0,47.78333333333333,0,0,0
UgzVO0AZ6lwt8skBwyp4AaABAg,0.20710074772087844,0.2342410820484707,9,0.0,2,59,3,0.0,45.31666666666667,0,0,0
Ugz5MynoAzqT0Q7PQop4AaABAg,0.3001067121810465,0.33987446692988355,10,0.0,1,68,0,0.0,44.45,0,0,0
Ugwx8ALCCOwyJcObCId4AaABAg,0.11424483887379554,0.2567897893794929,9,0.0,3,55,1,0.0,41.9,0,0,0
UgwdBTCfXNAtz38CB7N4AaABAg,0.11132047580246261,0.2253760749497277,8,0.0,1,51,0,0.125,37.25,0,0,0.0
UgzCpKyEZhNjo0DY1wt4AaABAg,0.11283818827005798,0.1823916805237364,3,0.0,1,23,0,0.0,36.983333333333334,0,0,0
Ugz0ZjBLarROAXHoVed4AaABAg,0.09274682238603421,0.23215515205476986,5,0.0,1,25,0,0.0,36.93333333333333,0,0,0
UgwBdmbYfKWhSalox9B4AaABAg,0.14114156867433073,0.30734929948798567,8,0.0,1,47,0,0.0,36.71666666666667,0,0,0.0
UgyknxmVvGoJKd5r9TN4AaABAg,0.19489804026687127,0.3101704288443811,7,0.0,1,38,0,0.0,36.666666666666664,0,0,0
UgxK9JcY4qvQSAU20T94AaABAg,0.28249727501071936,0.3378550947514579,13,0.0,2,77,0,0.0,35.86666666666667,1,0,0
UgwVafXMYyaZNjJW9g54AaABAg,0.0639896395170601,0.20808521844659308,2,0.0,1,8,0,0.0,29.816666666666666,0,0,0
UgwG4bqOraGtE-Hv4X14AaABAg,0.3470649600913613,0.32111901917630703,15,0.06666666666666665,1,79,0,0.06666666666666667,28.066666666666666,0,0,0.0
UgxgabwMn-0KjPJlpIV4AaABAg,0.04002664115201834,0.16156023788335297,4,0.0,1,25,1,0.0,27.483333333333334,0,0,0
Ugzzf7YLsifDMLdHK-h4AaABAg,0.16325581290281857,0.2641666264761008,2,0.0,1,12,0,0.0,26.95,0,0,0.0
UgziiVLD359NW9MVv114AaABAg,0.1648417031487971,0.30717073196349726,8,0.0,1,49,0,0.0,25.966666666666665,0,0,0
